registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFQ,3b77e4,2022-08-17,2022-08-17 15:36:45.185000+00:00,2022-08-17 16:02:07.536000+00:00,25.37,25min,Châlons-Vatry Airport,Villacoublay-Velizy (BA 107) Air Base,LFOK,LFPV,48.773666,4.203327,48.774595,2.216492,1.5,output/F-RAFQ/2022-08-17/leg_4/F-RAFQ_baro_2022-08-17_leg_4.csv
F-RAFQ,3b77e4,2022-08-17,2022-08-17 14:04:43.725000+00:00,2022-08-17 15:13:22.846000+00:00,68.65,1h09min,Poitiers-Biard Airport,Châlons-Vatry Airport,LFBI,LFOK,46.594274,0.312698,48.776596,4.181213,4.1,output/F-RAFQ/2022-08-17/leg_3/F-RAFQ_baro_2022-08-17_leg_3.csv
F-RAFQ,3b77e4,2022-08-17,2022-08-17 13:06:53.985000+00:00,2022-08-17 13:39:47.536000+00:00,32.88,33min,Clermont-Ferrand Auvergne Airport,Poitiers-Biard Airport,LFLC,LFBI,45.78771,3.18013,46.58931,0.308421,2.0,output/F-RAFQ/2022-08-17/leg_2/F-RAFQ_baro_2022-08-17_leg_2.csv
F-RAFQ,3b77e4,2022-08-17,2022-08-17 11:32:02.356000+00:00,2022-08-17 12:33:15.646000+00:00,61.22,1h01min,Villacoublay-Velizy (BA 107) Air Base,Clermont-Ferrand Auvergne Airport,LFPV,LFLC,48.774216,2.194237,45.786221,3.165367,3.7,output/F-RAFQ/2022-08-17/leg_1/F-RAFQ_baro_2022-08-17_leg_1.csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 22:06:40.830000+00:00,2022-08-11 22:25:27.650000+00:00,18.77,19min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.02887,1.220187,48.774399,2.203252,0.8,output/F-RAFQ/2022-08-11/leg_3/F-RAFQ_baro_2022-08-11_leg_3.csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 21:14:58.070000+00:00,2022-08-11 21:49:46.080000+00:00,34.8,35min,Évreux-Fauville (BA 105) Air Base,Évreux-Fauville (BA 105) Air Base,LFOE,LFOE,49.028458,1.219553,49.017505,1.205677,1.5,output/F-RAFQ/2022-08-11/leg_2/F-RAFQ_baro_2022-08-11_leg_2.csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 19:37:10.010000+00:00,2022-08-11 20:41:23.300000+00:00,64.22,1h04min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774362,2.201241,49.016201,1.204015,2.8,output/F-RAFQ/2022-08-11/leg_1/F-RAFQ_baro_2022-08-11_leg_1.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 15:57:38.450000+00:00,2022-08-10 17:02:43.710000+00:00,65.08,1h05min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.424744,5.226298,48.77413,2.190038,2.8,output/F-RAFQ/2022-08-10/leg_5/F-RAFQ_baro_2022-08-10_leg_5.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 14:53:11.140000+00:00,2022-08-10 15:24:58.330000+00:00,31.78,32min,Rodez-Marcillac Airport,Marseille Provence Airport,LFCR,LFML,44.371731,2.542598,43.493523,5.13382,1.4,output/F-RAFQ/2022-08-10/leg_4/F-RAFQ_baro_2022-08-10_leg_4.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 10:34:27.170000+00:00,2022-08-10 11:19:39.910000+00:00,45.2,45min,Saint-Nazaire-Montoir Airport,Rodez-Marcillac Airport,LFRZ,LFCR,47.310481,-2.157616,44.4984,2.333791,2.0,output/F-RAFQ/2022-08-10/leg_3/F-RAFQ_baro_2022-08-10_leg_3.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 07:16:03.150000+00:00,2022-08-10 08:20:27.020000+00:00,64.38,1h04min,Marseille Provence Airport,Saint-Nazaire-Montoir Airport,LFML,LFRZ,43.461777,5.179351,47.31134,-2.153389,2.8,output/F-RAFQ/2022-08-10/leg_2/F-RAFQ_baro_2022-08-10_leg_2.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 04:41:21.900000+00:00,2022-08-10 05:35:41.650000+00:00,54.32,54min,Villacoublay-Velizy (BA 107) Air Base,Marseille Provence Airport,LFPV,LFML,48.774307,2.199097,43.400931,5.267552,2.4,output/F-RAFQ/2022-08-10/leg_1/F-RAFQ_baro_2022-08-10_leg_1.csv
F-RAFQ,3b77e4,2022-08-09,2022-08-09 08:25:55.790000+00:00,2022-08-09 09:24:35.620000+00:00,58.65,59min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.382589,-0.423758,48.774216,2.192618,2.5,output/F-RAFQ/2022-08-09/leg_2/F-RAFQ_baro_2022-08-09_leg_2.csv
F-RAFQ,3b77e4,2022-08-09,2022-08-09 06:39:36.220000+00:00,2022-08-09 07:39:54.840000+00:00,60.3,1h00min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.774353,2.203815,43.3694,-0.398574,2.6,output/F-RAFQ/2022-08-09/leg_1/F-RAFQ_baro_2022-08-09_leg_1.csv
F-RAFQ,3b77e4,2022-08-08,2022-08-08 13:43:59.070000+00:00,2022-08-08 15:43:17.550000+00:00,119.3,1h59min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.983894,6.254112,48.774316,2.199,5.2,output/F-RAFQ/2022-08-08/leg_2/F-RAFQ_baro_2022-08-08_leg_2.csv
F-RAFQ,3b77e4,2022-08-08,2022-08-08 11:42:18.280000+00:00,2022-08-08 13:16:21.410000+00:00,94.05,1h34min,Villacoublay-Velizy (BA 107) Air Base,Metz-Nancy-Lorraine Airport,LFPV,LFJL,48.774307,2.198111,48.942764,6.210374,4.1,output/F-RAFQ/2022-08-08/leg_1/F-RAFQ_baro_2022-08-08_leg_1.csv
F-RAFQ,3b77e4,2022-08-02,2022-08-02 13:17:06.570000+00:00,2022-08-02 16:56:05.950000+00:00,218.98,3h39min,Keflavik International Airport,Villacoublay-Velizy (BA 107) Air Base,BIKF,LFPV,63.982047,-22.605469,48.774316,2.20088,9.5,output/F-RAFQ/2022-08-02/leg_2/F-RAFQ_baro_2022-08-02_leg_2.csv
F-RAFQ,3b77e4,2022-08-02,2022-08-02 07:05:59.960000+00:00,2022-08-02 12:20:54.320000+00:00,314.9,5h15min,Villacoublay-Velizy (BA 107) Air Base,Keflavik International Airport,LFPV,BIKF,48.774409,2.203843,63.961807,-22.605532,13.6,output/F-RAFQ/2022-08-02/leg_1/F-RAFQ_baro_2022-08-02_leg_1.csv
F-RAFQ,3b77e4,2022-07-27,2022-07-27 13:10:00.570000+00:00,2022-07-27 14:02:55.530000+00:00,52.9,53min,Aurillac Airport,Villacoublay-Velizy (BA 107) Air Base,LFLW,LFPV,44.863037,2.487815,48.774307,2.198674,2.3,output/F-RAFQ/2022-07-27/leg_2/F-RAFQ_baro_2022-07-27_leg_2.csv
F-RAFQ,3b77e4,2022-07-27,2022-07-27 09:22:41.680000+00:00,2022-07-27 09:57:16.820000+00:00,34.58,35min,Villacoublay-Velizy (BA 107) Air Base,Aurillac Airport,LFPV,LFLW,48.774353,2.202618,45.046785,2.400513,1.5,output/F-RAFQ/2022-07-27/leg_1/F-RAFQ_baro_2022-07-27_leg_1.csv
F-RAFQ,3b77e4,2022-07-26,2022-07-26 12:19:22.230000+00:00,2022-07-26 13:02:20.640000+00:00,42.97,43min,Saint-Nazaire-Montoir Airport,Villacoublay-Velizy (BA 107) Air Base,LFRZ,LFPV,47.313263,-2.143845,48.774353,2.201773,1.9,output/F-RAFQ/2022-07-26/leg_4/F-RAFQ_baro_2022-07-26_leg_4.csv
F-RAFQ,3b77e4,2022-07-26,2022-07-26 11:32:03.250000+00:00,2022-07-26 12:04:12.210000+00:00,32.13,32min,La Rochelle-ÃŽle de Re Airport,Saint-Nazaire-Montoir Airport,LFBH,LFRZ,46.179541,-1.208359,47.315643,-2.132172,1.4,output/F-RAFQ/2022-07-26/leg_3/F-RAFQ_baro_2022-07-26_leg_3.csv
F-RAFQ,3b77e4,2022-07-26,2022-07-26 09:54:36.740000+00:00,2022-07-26 10:32:07.760000+00:00,37.52,38min,Clermont-Ferrand Auvergne Airport,La Rochelle-ÃŽle de Re Airport,LFLC,LFBH,45.78785,3.181847,46.320175,-0.978264,1.6,output/F-RAFQ/2022-07-26/leg_2/F-RAFQ_baro_2022-07-26_leg_2.csv
F-RAFQ,3b77e4,2022-07-26,2022-07-26 08:50:35.160000+00:00,2022-07-26 09:39:11.020000+00:00,48.58,49min,EuroAirport Basel-Mulhouse-Freiburg Airport,Clermont-Ferrand Auvergne Airport,LFSB,LFLC,47.58989,7.529205,45.78685,3.171699,2.1,output/F-RAFQ/2022-07-26/leg_1/F-RAFQ_baro_2022-07-26_leg_1.csv
F-RAFQ,3b77e4,2022-07-11,2022-07-11 06:09:51.300000+00:00,2022-07-11 06:55:50.300000+00:00,45.98,46min,Villacoublay-Velizy (BA 107) Air Base,EuroAirport Basel-Mulhouse-Freiburg Airport,LFPV,LFSB,48.774353,2.201773,47.608658,7.516159,2.0,output/F-RAFQ/2022-07-11/leg_1/F-RAFQ_baro_2022-07-11_leg_1.csv
F-RAFQ,3b77e4,2022-07-05,2022-07-05 21:03:14+00:00,2022-07-05 22:18:03.700000+00:00,74.82,1h15min,Bordeaux-Merignac Airport,Villacoublay-Velizy (BA 107) Air Base,LFBD,LFPV,44.536247,-1.120404,48.774399,2.202125,3.2,output/F-RAFQ/2022-07-05/leg_4/F-RAFQ_baro_2022-07-05_leg_4.csv
F-RAFQ,3b77e4,2022-07-05,2022-07-05 17:21:52.500000+00:00,2022-07-05 18:24:39.900000+00:00,62.78,1h03min,Villacoublay-Velizy (BA 107) Air Base,Bordeaux-Merignac Airport,LFPV,LFBD,48.774269,2.197266,44.52681,-1.140616,2.7,output/F-RAFQ/2022-07-05/leg_3/F-RAFQ_baro_2022-07-05_leg_3.csv
F-RAFQ,3b77e4,2022-07-05,2022-07-05 15:14:24+00:00,2022-07-05 15:42:24.200000+00:00,28.0,28min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.025528,1.215891,48.774445,2.204872,1.2,output/F-RAFQ/2022-07-05/leg_2/F-RAFQ_baro_2022-07-05_leg_2.csv
F-RAFQ,3b77e4,2022-07-05,2022-07-05 14:28:05.900000+00:00,2022-07-05 15:05:43.200000+00:00,37.62,38min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774399,2.203111,49.019073,1.207721,1.6,output/F-RAFQ/2022-07-05/leg_1/F-RAFQ_baro_2022-07-05_leg_1.csv
F-RAFQ,3b77e4,2022-07-02,2022-07-02 10:25:37.799000+00:00,2022-07-02 11:00:21.899000+00:00,34.73,35min,Valenciennes-Denain Airport,Villacoublay-Velizy (BA 107) Air Base,LFAV,LFPV,50.32695,3.405039,48.774399,2.202829,1.5,output/F-RAFQ/2022-07-02/leg_2/F-RAFQ_baro_2022-07-02_leg_2.csv
F-RAFQ,3b77e4,2022-07-02,2022-07-02 06:34:17.999000+00:00,2022-07-02 07:39:20.099000+00:00,65.03,1h05min,Marseille Provence Airport,Valenciennes-Denain Airport,LFML,LFAV,43.617957,5.102757,50.350947,3.359218,2.8,output/F-RAFQ/2022-07-02/leg_1/F-RAFQ_baro_2022-07-02_leg_1.csv
F-RAFQ,3b77e4,2022-07-01,2022-07-01 16:20:43.458000+00:00,2022-07-01 17:17:18.758000+00:00,56.58,57min,Villacoublay-Velizy (BA 107) Air Base,Marseille Provence Airport,LFPV,LFML,48.774455,2.207023,43.582306,5.120715,2.5,output/F-RAFQ/2022-07-01/leg_1/F-RAFQ_baro_2022-07-01_leg_1.csv
